고추냉이 식당,0,0,2,064-748-4145,제주 제주시 애월읍 광령5길 8,인스타 공지,월-금요일: 11:00 - 18:00/토-일요일:12:00-15:00 ,오리지널카레,
그날의 조각,1,1,,0507-1429-1037,제주 제주시 노형1길 39 1층,인스타 공지,12:00 ~ 19:00,비건 밀크,
그럼피 베이비,0,1,,064-726-0466,제주 서귀포시 안덕면 녹차분재로 65 분홍색 건물,화요일,"월,수-금요일:10:00 - 18:00/토요일 : 8:00 - 18:00/일요일 : 8:00 - 15:00",더블베이컨치즈버거,
그루브,0,1,,064-796-3336,제주 제주시 한림읍 한림로 333,X,화-목요일 : 10:30 - 18:00/금 - 월요일 :10:00 - 21:00,그루브시그니처크로독,
깃든,0,0,2,010-5419-8789,제주 제주시 구좌읍 해맞이해안로 990-2,X,09:30 - 20:30,인도커리,카페도 가능
낭뜰에쉼팡,0,0,0,064-784-9292,제주 제주시 조천읍 남조로 2343,X,09:00 - 20:00?,낭뜰에정식,
뉴자연으로,1,0,0,064-782-2831,제주 서귀포시 성산읍 중산간동로 4217,토요일 휴무,11:00 - 19:00 /금요일 11:00-15:00,신선밥,
다담,0,0,0,064-753-2843,제주 제주시 서광로2길 11-18,X,11:30 - 21:00,연잎정식,BreakTime : 15:00-17:00
다소니,0,0,0,064-752-5533,제주 제주시 오남로6길 24,일요일 휴무,11:00- 20:00,연잎밥,사찰음식/동물성은 빼달라고 미리 이야기해야 함
담아래 ,0,0,0,0507-1310-5917,제주 제주시 수목원길 23 1층,일요일 휴무,11:00-20:00,돌솥밥,
덕성원,0,0,1,064-762-2402,제주 서귀포시 태평로401번길 4 덕성원,화요일 휴무,11:00 - 21:00,"짜장면, 짬뽕",
도토리 키친,0,0,0,064-782-1021,제주 제주시 북성로 59 1층,X,11:00 - 17:00,청귤소바,
듀크서프비스트로,0,0,3,0507-1414-1251,제주 서귀포시 천제연로188번길 6-6,일요일 휴무,17:00 - 1:00,타코,
러빙헛,1,0,5,0507-1351-9006,서귀포시 남원읍 태흥리 1752-2,일요일 휴무,11:00-19:00,샐러드,
루루 비건,1,1,,0507-1368-6628,제주 제주시 연북로 28 2층,월요일 휴무,10:00 - 17:00/토요일 10:00 - 16:00,비건쿠키,
르에스까르고,0,2,,064-748-0095,제주 제주시 월랑로2길 29,일요일 휴무,13:00 - 20:00,감자빵,
모녀의 부엌,0,0,0,064-733-0011,제주 서귀포시 516로 472,일요일 휴무,11:00 - 21:00,정식,예약필수
